countryCode,id,name,code,typeId,typeName,startDate,endDate,year,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+type+id+fts_internal,#activity+appeal+type+name,#date+start,#date+end,#date+year,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
UGA,,Not specified,,,,,,2024,,468627,
UGA,,Not specified,,,,,,2023,,904340,
UGA,1071,South Sudan Regional Refugee Response Plan 2022,RSSDRRP22,111,Regional response plan,2022-01-01,2022-12-31,2022,491176914,78332301,16
UGA,1092,Democratic Republic of Congo Regional Refugee Response Plan 2022,RDRCRRP22,111,Regional response plan,2022-01-01,2022-12-31,2022,325355306,8718679,3
UGA,,Not specified,,,,,,2022,,175125271,
UGA,1017,Burundi Regional Refugee Response Plan 2021,RRWATZAUGA21,111,Regional response plan,2021-01-01,2021-12-31,2021,27246644,981938,4
UGA,1018,Democratic Republic of Congo Regional Refugee Response Plan 2021,RDRCRRP21,111,Regional response plan,2021-01-01,2021-12-31,2021,261723478,9492079,4
UGA,1019,South Sudan Regional Refugee Response Plan 2021,RETHKENUGA21,111,Regional response plan,2021-01-01,2021-12-31,2021,478394321,22145466,5
UGA,,Not specified,,,,,,2021,,168797244,
UGA,945,Burundi Regional Refugee Response Plan 2020,RRWATZAUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,5676606,
UGA,946,Democratic Republic of Congo Regional Refugee Response Plan 2020,RDRCRRP20,111,Regional response plan,2020-01-01,2020-12-31,2020,,9672132,
UGA,947,South Sudan Regional Refugee Response Plan 2020,RETHKENUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,28589450,
UGA,1004,Uganda Intersectoral COVID-19 Response Plan 2020,OUGA20,1614,Other,2020-05-01,2020-12-31,2020,200157127,32588509,16
UGA,,Not specified,,,,,,2020,,178468580,
UGA,,Not specified,,,,,,2019,,233352407,
UGA,,Not specified,,,,,,2018,,320628151,
UGA,,Not specified,,,,,,2017,,348696497,
UGA,,Not specified,,,,,,2016,,148317900,
UGA,481,"South Sudan regional refugee response plan 2015 (Ethiopia, Kenya, Uganda components)",RXSSDREG15,111,Regional response plan,2015-01-01,2015-12-31,2015,220607768,57833971,26
UGA,,Not specified,,,,,,2015,,76398003,
UGA,451,"South Sudan Regional Refugee Response Plan (Ethiopia, Kenya, Sudan and Uganda) 2014",RXSSDREG14,111,Regional response plan,2014-01-01,2014-12-31,2014,224303989,112862974,50
UGA,,Not specified,,,,,,2014,,63597280,
UGA,,Not specified,,,,,,2013,,56693402,
UGA,,Not specified,,,,,,2012,,36676000,
UGA,,Not specified,,,,,,2011,,51962703,
UGA,319,Uganda 2010,CUGA10,110,CAP,2010-01-01,2010-12-31,2010,184398188,99109148,54
UGA,,Not specified,,,,,,2010,,17802226,
UGA,287,Uganda 2009,CUGA09,110,CAP,2009-01-01,2009-12-31,2009,247000305,188185867,76
UGA,,Not specified,,,,,,2009,,27030116,
UGA,264,Uganda 2008,CUGA08,110,CAP,2008-01-01,2008-12-31,2008,379983884,276036123,73
UGA,,Not specified,,,,,,2008,,50770022,
UGA,255,Uganda Floods Flash Appeal 2007,FUGA0708,5,Flash appeal,2007-09-01,2008-03-31,2007,41469801,20405340,49
UGA,230,Uganda 2007,CUGA07,110,CAP,2007-01-01,2007-12-31,2007,350520867,279512549,80
UGA,,Not specified,,,,,,2007,,27264106,
UGA,198,Uganda 2006,CUGA06,110,CAP,2006-01-01,2006-12-31,2006,263446401,225981865,86
UGA,,Not specified,,,,,,2006,,52766570,
UGA,167,Uganda 2005,CUGA05,110,CAP,2005-01-01,2005-12-31,2005,188777892,146212606,77
UGA,,Not specified,,,,,,2005,,53728523,
UGA,137,Uganda 2004,CUGA04,110,CAP,2004-01-01,2004-12-31,2004,142880013,112291217,79
UGA,,Not specified,,,,,,2004,,41480341,
UGA,104,Uganda 2003,CUGA03,110,CAP,2003-01-01,2003-12-31,2003,148135670,123567180,83
UGA,,Not specified,,,,,,2003,,12348366,
UGA,77,Uganda 2002,CUGA02,110,CAP,2002-01-01,2002-12-31,2002,68114892,42503632,62
UGA,,Not specified,,,,,,2002,,13491641,
UGA,44,Uganda 2001,CUGA01,110,CAP,2001-01-01,2001-12-31,2001,79814162,35451595,44
UGA,,Not specified,,,,,,2001,,4702518,
UGA,61,Uganda 2000,CUGA00,110,CAP,2000-01-01,2000-12-31,2000,27414380,17237656,63
UGA,,Not specified,,,,,,2000,,2387759,
